query_id,answer
70DfDUpwjxB4lzFd,d01e14d2ffd4ddba 14d535285758af89 6fc4db453f873556 b92ee8f432cec2d1 bee602308dd4d4b3 603623b4bd9e8f6c 33f8d361a92bdcde deb58d7ad8c27d06 381799b84107d103 3b5ada3ffcacbbf3 fa4ba2c2cf71b0b1 255fbeaf526a1cc1 89f369c5f1f25ae4 7ff50cd6937d2fb2 290ab1a4eaeed455 1f15692aec8952a0 b62a44f441ab60a0 167237fda4318f24 a1f89a5af43b9a19 355392014208b7bf 9515d1e1ecdac72c cf0b70d14b674f8b d722bcda1a555091 78460317786bf1dd a9930cc6cc6a9219 d4ebb123b83921c3 f4e8903d7689e222 6042fecdd7753112 73ba3172bc67d2dd 0a6ee6515d564550 2d73dacac243ce62 4494aa11cbdc2d65 e08f4ce94c268cef 75368254f36b2c3f e5a240b2eaca4e11 bbfd9a8c71d3bd2b 82ddaf2c54ef884a 936c0eb79b64074d 67a46949b04287b7 acc6e16fea8628b0 66860b3fd69e8056 6dfa83ed47d5bd10 d7ad9f91504e4d02 616137eeb40fbedc 414b206a6ab83aff 66fcfff959aef409 95571e85156ba0fe a1df0525799ab4b5 8982e6630adf5c35 fe23a404e486921d
JTrdTaZJvSiLPkXj,1c6d2079e07f4497 1344796085e92421 4a435cc0a254c1fd 367af128a9ea2a48 8703b2a0442c5d25 16ea26ff0aa0450a 413f6384e3c07b64 57e4e6a29340c866 5fb8205a8c106545 689e3ed148bca9b5 0f7b573ac008ea9f 22fcfaa386f58ecc 924eeb5f60acf384 cf7cf3f80dbeeb5a e08d374366a8ebfb 3a5fcb870e078d7e f50963ef7dda3d19 3e0833adb1f35664 da45a2a601899d45 523030d8a853e7c4 bafe6304f743b5fb a799e455c749d7b6 1440ffbe4863b68d aba630c0ae03bc91 b1a24dc7659fff34 5cc5ebbee2455db0 9a9aabc6565220f6 f7cc9b020140b225 cbeccbecb1fb8d86 664665688c35c1d0 58616767e88c583f 422d3ffdd5bbf626 47e3cd16144de4bd 723bc9f1d1c515a2 df2bcbda3d2828a9 1d316731254b8df9 396da9dc8f95a5b4 acf02e654ba15a6f 0176c47cafe873ea 73ab3b0d708ea15e db4300a12850217c 7546a79e11c0deec 47b2ed1012de011a 9dc640553d4c347e 6d39a05cc260b6a2 43fadf4ae70f6e57 1a1f3efb845a2473 01fbbfc288257fca 05c617a17b38e1bc 8879ea7cdf926eb4
LZCZNoVG4AFUkVRJ,d62074dd39caefee dab52187b4500d9b 3f89b8062dc85f1c edecb3695ab88901 d8fce513e4f000a7 65f998d38467560a 168a9207e80b0be4 c1abf382ab9a79dd 10eb6d6da3230bbb 6fce025768d766a2 3b370cc603f67947 e59f50c4c70d9a74 bc5cfc9ad5b36256 35a357d7a0777087 c51784a57473b4e8 c5d21c0e8c1cdb2d 5c3ee000a94c97a4 d8b9d06b50158c04 a9840be7d8930cd1 005a523a0efbc62b 0b1c884e6c242ea7 597e24ccf265b201 53fc0e81b65d6289 449711e696e8856b 1ed12bdbbcbf09ee 965d4e5fe7062419 0c82dcb07c43fbc5 ab1a2e6b18e6d75a 71005958fbe1190f 6c311e61cde9bac2 4d4d23ab3070858e d8e11672a3a3b1db ffa57569baf9bf6e e14f5fb01fd62b4b 0d06660c7c30724e ee58129557cfa95b 3f155e092f6b52f3 f15206e5d1387bcc 0672c29f49f57fc3 2745b4bcbdb485c7 20008df3aec725aa 747adf1ec178da7a d992d4c3a389b3b7 7504ec10470a9849 4d6b4024d241fcdb 15c9ef3c3454eb8d 1a0aecc251e57776 70c217c03761b975 54f63ca01b4f312f 7274667a5f8c7614
660ac9QVtXkRxZC3,af91ec4a29b66636 67b2cd847669eb36 3cce43c811459438 4c15e7abba063ac5 bd2cb4500fad728e 1e5924dc546b82c1 a846a2a5241e1180 e42795fcb72962a5 5b8181f009aea80e d8f21e0f7becfcd5 62be8c7f2a81aa9b 2babc4b2f86c9376 4816fc8b40866f56 1fb7707db248aeb5 fde6e017db60d8cd d83b16fa4384c88f ca7c68af44fd8ee9 f1c646d47e8e9f76 6191477f49af3209 f5251ca92afc5902 774a61a95c97a738 ba48c237ca8f61e5 939fc3c30e900244 3e76e71f9e7867a5 da18e5119a944f0b 52bb41bec8c09542 49e290ab4300cfc4 db04fd609245f490 3b781361d56cf997 134c28fb359a5712 0ccc2d9667763ea3 d42b0cb96a5e7e0b 762f2b1cafd68bd0 1015320d8c099a6f 94677309cbe99d60 f9028eecc17d9dd0 976b75fa962b2756 2972b8384c2cc92e efd1cc78ffcb3b79 67188dc7b1ff24f2 45c895851e97bb4a 48ddec5a0f311511 24f172363f34ead8 c1e676e7aad546e4 e55dfec518298ba3 b941a26e21662dc9 57f0c8833f98c86b 2e41e042d4c558c0 eb7e3bc6aad3edb2 41ad6e1ba0d270a8
YgHcM9MVbxKnxD1e,1a62634394544781 53f9c8caeeb8111e 615c73ea4c3bfd15 9c41fe789f98d702 60e3b99111bd032b b8603925d28a8c99 f84e2e12043c211c 1f1da5d8632ab8c2 c539e0661217b8eb e88641d6dcf18b42 8138a7b391e29034 03e08eb8f11a3a5d 0f79695e8c342b3a 1f7a63d202182a54 b56c4d26c5157df8 41488580d6c45eb9 10765ed48ddec03e aee13260d864d401 32d521a02e4692dd 0d7ad55085d6707c f65e19416c15b1d8 23bc4a9372c16c12 f6e8862b5885abb5 0a8d317b1a325bff 1736ea24d6cd586f b958f0b79f8e0d8d 707b59ca6d01360f bd12d7bcc12519b9 22fbd0f00d32c274 eb0f872be57f5c59 7da609613b4892e8 2811287ccd261c09 49c9037c696e8925 c872da167e910435 88232528f158ebbd 0e9ed42de7e3e879 c33feecad8ca5f31 84b84fe92cec800e b24c44fc09c7d50b 08599550d5c047f8 6f76aa14355a5f44 63f63b542a0b4e66 d201edf373168f24 b5b1c6b5f2300b14 bcc1cd1d0d27167e ab8bb2018bb4d5f3 e9511957c20afb66 0870ef7fd058e0cc 09445fb5bb3cfe0d 0e2b9895de4c5d3d
Fn8uGfYsaUS86ak6,efd1cbb4bff99da8 138ebf716562699c e3f278c4400772bd c6ddc1fc25886253 1ebd6968953200ee b9982354b0f9b488 12c906df661153f3 01c152e3cfa3ca08 03528664f8be42dd 44853116720cebf8 ee49d0f90bd0642b 2c01198e6a9e5dcf 9d80c5569bb55f4d a3f003d075e3dd83 61857fa438e615aa 04b3c9d52d80b499 1a0fd0229092f93a e4d73ff84d102409 a5b439f86471cead 67046e3c5492df3e f6248730c66364a5 d85029384488d414 c0c959ccb7cc3d15 282c376762a9bce8 6f62d35257e7a261 ead93271c4b06df7 470c9b814c5f01db 8ed055fba8c69bea e3356487aebf24f1 0b67bbabdb5d485f 9328083d57dc2ecb 1b57e78ed4d89c93 f561c13076e6bf30 5d6fc47a7f0e1abe 6a254eaa5e3cbcaf 4030be553978c72e 5a3a241e8b4685ea f9a1d76720a2fd92 017bb20f4533c6f4 98d326ba81fe3f24 cec2129b96de2003 8e89c37ccf03e9ad f3772bb5b115fd55 a19f89e720c8750e c1fef52077704ca1 1e6c849543277e26 77591840de7e9360 503d2bf7607b0168 564ace6bd2f698c6 e4f46fcd4a67837f
u4hftjenWqHZoMep,5be2876f5c6064e8 6159d0a9012f6b13 d0a1eeeb46bda2ef bfc4346cd7fe091f c9021873c1f2511b 1a3daa8815cbd80e 0cfabc56b1cd4816 4ecfd12428c444fa b0896578a785ce44 83b88c758270dcfe 57dc728ccb851c30 7ab3158075b21fb5 f7ed83d74c968bd4 144d5e7f963f9a97 7ad464454b711615 4ed8df21d84d4a06 ba9cc82dfa5fb14d 234d4c9907defc22 bef0ed0b50f716d0 7c0b81289a241548 32a76004a45057fe 392a1302a737d219 b8e9fa3c7f8dcb0f c6571e1fec37da62 91b68282c0060d30 5d9db7da201ce13a 02709eef10e1323b 06ec7e8b38e7a70d cd2e591476aa0f52 c13b880292455ad1 5e1667d9627591eb e70727d9d773a2f4 56e22aff11b5ff11 769aec204e397c11 ed5446eef9aa6676 24370b8d2003ebfc 4d2b257439551f96 e1ea0056989466b1 9319d4a4129848d9 a79c49ceae95840a 792d43b3e3a4c97f 7117896eec2f5f49 b8e7349986c10cc7 6f2185599cc623f9 5653d6a7f9b84737 9420f0e52144dba5 4feef5dd0decbfcf 7e463077b134914b f8ad2df7239a253c 33749b28c459cff8
2Ysms04CH0JxFR7M,2ec74c681dda0a47 ff14cbd8d906719a 48fb9b26f3ab9085 376b59a44a9b7fde d7383729fe99b54f a1ce355c874ba851 2021792912211cc8 cd8a55e63e6ab416 0749b0eac68ddfa2 9b746cef1e3ebe28 831141431ca6022b e27b8a70862f28a9 c367d367efd7e4bf 866937840b197999 d6161215ffaba51b d88cf31055f8f2f9 fa0facc1035123dc 4eab8b78558b6cb7 7cd161f77b76b004 c57e284d60a66f9b 7cd8ce86b84060e7 841964da26ca18a9 d39a335d58289043 27514aceb5aeb5b4 9e6898aa5a012ad4 eb692789f174c1b1 ba854086d29b49b8 150e159e9ce1d19e 4e2cb3c6fe0f1376 d4d7573eb19ae6ce e3f2e9efeb9d1b5a 1a4ad9abea6976bf fc9a15be0b9e5eca d1254ee38f8a30e6 506ac05aea4d3cfa 17736a65692b1387 c4ec8d4b1808ae6e d765d8511e57bd2d 1d3eb18e863c9dbf 4ab5d95e3dbd0660 3de7695c42421afc 3926c43cd7703559 2b02246e85f7c8a6 d8f086e366695a07 c6342edd577e88f9 a064dea47e77abff c10440227d3f8f0b a1200d28ea7ff6a1 ee087156d405e8e8 1448195cd00d4b27
C87NmbDEECz55BdJ,d5481806b6e8dfde 985dc437fea08791 1210ead0ad9cacdf 639d85039afd302d 772bdac5eb711ff6 94c4ccd762aae19f 47d69ab911f7e876 8e27e0145ab2d9ee 3482673a7d6aceca 58c8bb4cda560a90 5bee8aed3480d143 d53ed1b5ee04124b 7c1fd27bf3023a09 503fa42b3135b07a 8d368cec78617ab7 24f65a1ed155d3f6 a2fe5220900a341a c110cd29cc7b359f 9fbac46b92b90c40 9f69c8903ff81799 17d852af377fc179 102b9907088f7929 662fb14d306d3827 312eb6d5e3c97fe5 7d3079ea89ea3327 03d74f1e16c5cb36 b8d8b006f72906a7 d93f9fd25c34020e 2ca172d2efcd909b 5afbf6db81762374 272fb9d939705fa2 ecd9d28f6d6f910e 0bdbdb1a844b538a 85271ff756d411c5 104da90f582eb10b 325cb0e9cc186e77 86de71c66dd2773e 279578ee0d6e4bdd 42b32e2a4f2e1a0a f4310a574a8537ff a317a15b20ded8b5 f7ed30d20f573f74 e99c3d08c81feebd ae56b61453ef8439 85ad54356a28f941 417baa5efb25467d 65432a13087cd189 4113178497d9ec2a 5e153032fc8734f2 8ed58660d6fd9cf4
bTF8nFanljgh7MYg,070b67d8d87a7d16 88c1ca26292dbdff adb24f7adbef70ff 6f9ecabf50905914 a37577e9aafbd972 627ca4f7dc9fe638 33de3813f4dac961 1555a20631f724fe 495994dc327cbdd5 4d11c23bd09c33aa ef8f2ed6aefccf86 09e9fea66d9b18ed a2e5965b7fb44ba0 1e288a95b72bef0c 498104fe5336f2de 12f8eb8fc5bcf830 ab7e197209e40355 e63b5cf35cc76a37 e1a509061db4365e e9ed0f282386b618 1ef0d3d4bf13d4e5 f1a94922489fe1ae 1f9673dcc275ea7d 8fccb5f577dc8cc3 46c6e475960d796e ffb293d728ad43a6 bc6fe8709b827527 45751ba9f5ef2a7b 3b1daa74cc3b525b 8673e52d7a10e87d 2d4b67006c34f71e dd0cce72b634d4b1 df4cc9d2729061ae 5fe9106b02d139f8 e4273fa2690bf03d b09aa8fca0a0f7b0 95d6e5ef0d0d0024 6bf175b0c4443a31 d5b2e248c8ab0a76 42200a32b95167d3 c3f59d0988d07dbf 9423fb317aa7ac25 fe47b644e71c6de6 74a3599988f4b548 bcd89dcbf0a0b2d8 ff0fa20dc2ab50f5 5faef27030a49c23 375fb68073264a28 a78cb02e90132420 2e07853eb7febd93
